Symbol,Stock,%▼,"Ownership
count",Hold Price*,Max %,"Current
Price","52 Week
Low","% Above
52 Week
Low","52 Week
High"
AIIR,Air Holdings Ltd,0.129,1,,10.61,$7.36,$5.29,39.13,$13.37
TSN,Tyson Foods,0.128,6,$57.25,3.11,$58.12,$49.30,17.89,$68.90
NCLH,Norwegian Cruise Line Hlgs Ltd.,0.128,3,$21.11,4.23,$17.18,$14.53,18.24,$27.18
FLG,Flagstar Financial Inc.,0.127,2,$14.94,9.62,$13.43,$10.55,27.30,$15.44
GEV,Ge Vernova Inc,0.126,10,$1174.86,3.91,$941.60,$529.18,77.94,$1195.94
TDS,Telephone & Data Systems,0.125,2,$37.01,5.17,$33.24,$31.51,5.49,$49.07
HHH,Howard Hughes Holdings Inc.,0.125,1,,10.23,$66.44,$61.01,8.90,$91.07
SE,Sea Ltd,0.124,8,$95.83,5.02,$115.89,$77.05,50.41,$199.30
TDW,Tidewater Inc.,0.124,3,$66.63,9.95,$92.86,$46.65,99.06,$97.50
ZS,Zscaler Inc.,0.124,1,,10.18,$176.14,$114.63,53.66,$336.99
NOW,ServiceNow Inc.,0.123,6,$99.28,4.59,$128.22,$81.24,57.83,$194.73
CI,Cigna Group,0.122,7,$275.68,2.67,$277.59,$235.50,17.87,$310.19
EFX,Equifax Inc.,0.121,9,$158.73,2.27,$193.11,$150.75,28.10,$269.54
FDX,FedEx Corp.,0.120,7,$313.13,3.18,$329.68,$173.85,89.63,$344.07
APD,Air Products & Chemicals,0.118,7,$293.18,3.96,$304.22,$224.64,35.43,$314.87
CSGP,CoStar Group Inc.,0.118,4,$28.32,6.49,$32.60,$25.89,25.92,$91.89
EWBC,East West Bancorp,0.118,1,,9.68,$129.28,$90.34,43.10,$137.47
URI,United Rentals,0.116,6,$1132.89,5.14,$1085.24,$698.94,55.27,$1177.15
ABNB,Airbnb Inc.,0.116,5,$143.10,3.59,$190.14,$110.81,71.59,$192.66
RYAN,Ryan Specialty Holdings Inc,0.116,2,$37.76,9.09,$44.17,$29.07,51.94,$59.37
MRK,Merck & Co.,0.115,10,$128.49,4.43,$150.51,$75.81,98.54,$154.49
MRSH,Marsh,0.115,6,$166.67,3.98,$193.60,$155.72,24.33,$208.37
TECH,Bio-Techne Corp.,0.115,5,$70.65,3.68,$72.35,$43.12,67.79,$72.62
ACHC,Acadia Healthcare Co.,0.114,2,$29.53,6.00,$28.35,$11.43,148.03,$35.83
EVH,Evolent Health Inc.,0.114,1,,9.34,$4.67,$2.10,122.38,$10.08
IDXX,IDEXX Laboratories,0.110,6,$526.44,3.93,$555.72,$518.55,7.17,$769.98
GPC,Genuine Parts,0.110,6,$117.98,6.13,$134.70,$89.80,50.00,$148.58
REGN,Regeneron Pharmaceuticals,0.110,3,$623.54,4.95,$826.38,$538.24,53.53,$847.00
VTRS,Viatris Inc.,0.110,3,$15.88,5.13,$16.46,$9.10,80.88,$18.25
NU,Nu Holdings Ltd,0.108,5,$13.36,4.29,$14.81,$11.20,32.23,$18.98
NBR,Nabors Industries Ltd.,0.108,1,,8.85,$88.00,$33.66,161.44,$112.90
FRPT,Freshpet Inc.,0.108,1,,8.87,$76.22,$46.45,64.09,$86.00
ZBH,Zimmer Biomet Holdings,0.107,7,$86.09,3.36,$100.79,$78.91,27.73,$107.16
DECK,Deckers Outdoor,0.107,2,$99.29,7.52,$91.15,$78.91,15.51,$125.45
LIN,Linde plc,0.106,7,$518.94,4.94,$487.03,$385.26,26.42,$548.20
CFRHF,Compagnie Financiere Richemont SA,0.106,1,,8.67,$227.52,$162.03,40.42,$254.24
MELI,Mercadolibre Inc.,0.105,7,$1697.39,5.10,$1952.36,$1495.00,30.59,$2548.50
WTW,Willis Towers Watson plc,0.105,5,$261.37,3.44,$348.26,$239.74,45.27,$350.11
SYF,Synchrony Financial,0.105,3,$76.05,7.84,$80.34,$62.56,28.42,$87.67
DCH,Dauch Corp.,0.105,3,$5.42,3.97,$6.46,$4.92,31.30,$9.25
CVX,Chevron Corp.,0.104,11,$165.76,4.67,$203.34,$142.51,42.68,$210.92
WEN,Wendy's Co.,0.104,4,$8.29,5.97,$8.89,$6.07,46.46,$10.02
DVN,Devon Energy Corp.,0.103,5,$41.32,4.49,$48.07,$30.89,55.62,$52.34
TFX,Teleflex,0.103,3,$126.76,4.91,$138.29,$99.39,39.14,$144.64
CGNX,Cognex Corp.,0.103,2,$72.42,7.60,$58.84,$34.45,70.80,$72.78
CPRT,Copart Inc.,0.102,6,$28.19,4.41,$33.28,$26.81,24.13,$50.11
AMD,Advanced Micro Devices,0.101,6,$580.91,5.12,$458.97,$149.22,207.58,$584.73
FCNCA,First Citizens Bancshares,0.101,3,$2080.78,5.32,$2191.32,$1618.56,35.39,$2296.30
VST,Vistra Corp.,0.101,3,$158.63,4.70,$136.40,$132.47,2.97,$218.91
CNX,CNX Resources Corp.,0.101,1,,8.25,$36.36,$28.45,27.80,$43.62
UPS,United Parcel Service,0.100,7,$107.50,2.95,$102.34,$76.95,33.00,$116.86
MDT,Medtronic plc,0.100,7,$78.23,2.76,$92.89,$72.65,27.86,$103.76
BCC,Boise Cascade Company,0.100,3,$77.63,7.47,$81.98,$64.57,26.96,$91.43
ABM,ABM Industries,0.099,5,$44.24,7.10,$46.86,$36.45,28.56,$49.80
ORLY,O'Reilly Automotive,0.099,4,$92.09,3.90,$89.87,$82.59,8.81,$108.72
CNQ,Canadian Natural Resources,0.098,3,$39.50,8.04,$50.84,$28.73,76.96,$51.48
ABG,Asbury Automotive Group Inc.,0.098,2,$201.08,7.91,$212.55,$172.01,23.57,$263.38
CR,Crane Co,0.097,2,$223.07,7.82,$206.57,$159.36,29.62,$230.50
EWY,iShares MSCI South Korea ETF,0.097,2,$201.90,6.55,$174.79,$69.82,150.34,$220.89
BMY,Bristol-Myers Squibb,0.096,8,$57.62,2.88,$67.11,$41.13,63.17,$68.64
MGM,MGM Resorts International,0.096,4,$47.81,4.91,$43.71,$29.19,49.74,$51.59
MLM,Martin Marietta,0.096,3,$576.70,4.56,$532.32,$522.19,1.94,$709.08
GPN,Global Payments Inc.,0.095,4,$72.56,2.49,$94.97,$60.93,55.87,$95.67
APG,APi Group Corp.,0.094,3,$42.35,5.00,$40.75,$33.40,22.01,$49.99
AEM,Agnico-Eagle Mines Ltd.,0.094,3,$155.15,6.22,$215.79,$132.56,62.79,$254.61
URBN,Urban Outfitters Inc.,0.094,1,,7.72,$75.57,$59.54,26.92,$84.35
AU,AngloGold Ashanti Ltd.,0.093,3,$80.90,6.81,$119.52,$49.94,139.33,$124.69
NOMD,Nomad Foods Ltd,0.093,1,,7.61,$12.16,$8.86,37.25,$14.98
HKHHF,Heineken Holding NV,0.093,1,,7.61,$78.03,$64.00,21.92,$84.80
