Symbol,Description,Market capitalization,Market capitalization - Currency,Price to earnings ratio,Price to earnings ratio forward,"Return on invested capital %, Trailing 12 months","Return on capital employed %, Trailing 12 months","Return on assets %, Trailing 12 months","Return on equity %, Trailing 12 months","Current ratio, Quarterly","Gross margin %, Annual","Operating margin %, Annual","Net margin %, Annual","Interest coverage, Annual","Debt to equity ratio, Quarterly","EBITDA interest coverage, Annual",Country or region of registration,"Free cash flow margin %, Annual","Free cash flow, Annual","Free cash flow, Annual - Currency","Performance %, Year to date","Performance %, 6 months","Performance %, 1 year","Performance %, 5 years",Price,Price - Currency,"Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Relative strength index, 14, 1 day",Sector,Industry,"Altman Z-score, Trailing 12 months","Piotroski F-score, Trailing 12 months"
RRL,Regis Resources Limited,3893993919.8651,USD,11.583372255955162,8.36196519669163,28.0614045288209,33.96563457580385,19.707804143155,29.2006456073424,2.63067791681633,23.7996930943808,22.7090733829789,15.4397321374374,15.824711306628318,0.0580179998169082,32.439321517702304,Australia,36.543378341301384,395876311.6,USD,-1.0638297872340317,-11.53388822829964,72.22222222222221,208.71369294605807,7.44,AUD,6.5029771449925295,6.557323192447452,68.49721174488869,Non-energy minerals,Precious metals,6.55379541920677,7
AYA,Aya Gold & Silver Inc.,3893373496.086,USD,47.34982332155477,19.278674504724425,19.4584686382342,28.717726336794712,15.7517988298782,23.6540114530731,2.22334037103697,41.0629286202017,28.0561300729335,22.5415879110548,5.419805264220659,0.21871147774900201,7.381667390370164,Canada,18.707386760959302,38469852.058,USD,93.33333333333331,55.9390048154093,202.4124513618677,273.65384615384613,38.86,CAD,28.558921368755158,23.655022347683786,73.54452311408967,Non-energy minerals,Precious metals,8.22045059671046,8
PLNT,"Planet Fitness, Inc.",3889511913.444511,USD,16.61181420282971,14.223428682984876,10.1959728620645,16.099699615663845,7.76780642109359,,1.55992222216618,40.1713106731594,29.8552121219444,16.5468408269795,3.652174716381509,,5.0913768892502125,United States,19.238919634118343,254751000,USD,-55.28767123287671,-47.19585849870578,-53.02245250431779,-31.293853494246427,48.96,USD,54.532404023299776,71.57719289999496,33.504864669911626,Consumer services,Other consumer services,1.10755826522892,6
688018,Espressif Systems (Shanghai) Co. Ltd. Class A,3889336743.5133595,USD,46.430599497039026,42.39629629629629,15.9105168768124,13.157714881921226,13.4336887632863,15.9962787308757,10.6275580279601,45.0837660125189,17.4957207171482,19.4247468269715,71.7566254783251,0.00718836067392719,81.72216912524127,China,0.962721766521909,3527360.7296,USD,-6.2927375405448185,-2.048676573461122,6.229723093040079,30.877759300904337,114.47,CNY,113.08812918917272,115.49583039178007,54.55846041906723,Electronic technology,Semiconductors,35.2256355799849,4
BUMI,PT Bumi Resources Tbk Class A,3888624374.25,USD,33.24038337242156,,5.90470377846996,4.695958450704401,2.77423668383157,7.3295254929497,1.29082167114142,17.3597274118606,9.91951626196863,5.68596792913676,5.127018357432499,0.440262269302495,6.7452606010960015,Indonesia,-0.03659650503724255,-515016.20700000005,USD,-51.61290322580645,-35.714285714285715,63.63636363636363,227.27272727272728,180,IDR,169.8912307088586,194.65321866710903,60.22044355624064,Non-energy minerals,Precious metals,1.19952715106519,
ALM,Almonty Industries Inc.,3887263453.2087445,USD,,18.945051054838316,-42.0016081366854,-6.619083522691367,-30.3002182229644,-71.2344641198744,2.44704646933775,7.30454573414519,-89.9028110967582,-497.97933198007,-7.247953716952492,0.465390379013655,-6.989335802248758,United States,-67.0111473367184,-15593060,USD,56.0364464692483,-6.484641638225264,244.22110552763817,1077.3704247986868,13.7,USD,15.124014772922758,13.910578954952449,48.17361667464112,Non-energy minerals,Other metals/Minerals,13.4059159386403,5
UBL,United Breweries Limited,3883977499.5924,USD,93.32353137739759,,,,,,,27.3793985675232,6.01096976820196,4.47156583267857,7.744143892916899,,11.536530953708867,India,-1.0088810100498489,-9968014.6,USD,-14.315518193532549,-14.352306182531894,-26.92830978545264,0.5110487295760553,1396.4,INR,1389.8984318514724,1522.5835818685132,50.72134566218976,Consumer non-durables,Beverages: alcoholic,,
MPHC,Mesaieed Petrochemical Holding Company Q.S.C.,3883589186.9214897,USD,38.981818181818184,,2.14828191316973,,2.10452990506879,2.14828191316973,7.95791755104481,,82.6380348752877,559.959638003343,,0,,Qatar,1338.1494444969992,348664444.74,USD,-1.9213174748398818,0.18691588785046745,-21.292217327459618,-45.99496221662468,1.072,QAR,1.1433290119880524,1.179737671385601,31.221882994189457,Process industries,Chemicals: specialty,25.0389140266131,
SEK,Seek Limited,3882456152.60066,USD,,26.827374940527367,-2.03313445830026,7.1220220732680115,-1.70666437391856,-3.08343527310149,0.700203481799683,45.7976298997265,23.3728350045579,21.7228805834093,3.1890547263681586,0.537825703855998,5.068407960199004,Australia,43.4457611668186,313402628,USD,-30.970790378006875,-10.123042505592835,-34.05826836274108,-45.746119319847416,16.07,AUD,14.155725493788207,16.94772763485344,69.75296513298004,Technology services,Internet software/Services,3.65452536997547,3
U06,Singapore Land Group Limited,3882123576.7914,USD,18.157894736842106,,3.06747073534204,,2.70580372100682,3.20076327774467,0.839856036562743,47.3079401628634,35.6282109735379,34.6755850116786,12.100523379038886,0.06965188696443579,13.94342315844111,Singapore,38.1302550439507,232692125.6,USD,9.872611464968156,-11.538461538461531,13.114754098360669,26.838235294117645,3.45,SGD,3.359876677389707,3.293312398828102,58.95217132596497,Finance,Real estate development,3.67202145061352,
603407,CHANGYU HOLDING GROUP CO LTD,3880582031.2380595,USD,,,17.788986801351,,13.9473762828398,17.937593810279,4.32374314554727,24.5944541746845,16.2246401920336,14.0530219821877,154.77995267799528,0.0943792146547391,179.79915035491504,China,17.342737497101925,43983659.736,USD,-5.934545454545452,-5.934545454545452,-5.934545454545452,-5.934545454545452,64.67,CNY,66.2147127648354,,49.43424547683312,Non-energy minerals,Other metals/Minerals,,8
TLX,Telix Pharmaceuticals Limited,3879711098.72358,USD,,299.46412499999997,-0.9068199369426,2.097896887748901,-0.666206844434327,-1.84511565674188,1.42593168238179,53.112364610833,2.21014339494946,-0.886421147707001,0.48383588556222884,1.12453776819075,1.0770760494461566,Australia,-6.868551041087737,-57129985.035000004,USD,50.66666666666666,76.7466110531804,-2.6980482204362937,195.8115183246073,16.95,AUD,15.044696453502167,14.805989884229128,67.76045992107473,Health technology,Biotechnology,2.65067050676954,0
OTTR,Otter Tail Corporation,3878207751.596866,USD,19.946446695026886,16.377659574468087,6.69466448943956,8.800158048132719,4.84108673486545,10.6848101775434,1.70690505699516,27.6525277249938,26.3471410013972,21.1564976404424,7.275272095879388,0.674906799668171,9.776161436496846,United States,7.508638419456803,97917000,USD,13.616236162361632,6.257908662141951,15.882574331953347,72.97752808988766,92.37,USD,90.3571759900293,87.05913432478744,53.960866621411576,Utilities,Electric utilities,1.99227467520359,4
3320,China Resources Pharmaceutical Group Ltd.,3874808986.5459294,USD,7.01188941412405,6.195168748212413,5.53997670837296,9.11976838025337,1.48013036496915,8.07725295182808,1.41838227055942,16.5104172420336,4.58047403223407,1.50068742080431,6.084308683137819,1.8314428117153803,8.09582019465538,Hong Kong,6.152176005883727,2310543304.299,USD,9.999999999999988,4.594017094017091,-6.2260536398467465,18.5230024213075,4.895,HKD,4.779060870698935,4.894665973499561,58.94850584910726,Health technology,Pharmaceuticals: major,1.5638802623332,8
VENTURE19,Venture Corporation Limited Units Thailand Depository Receipt Repr 0.01 Sh,3872857080.26239,USD,21.67487684729064,,8.24825008433475,9.170955635921962,6.29650206476851,8.28609598713829,2.97147977751985,14.6160392690206,9.58490315906344,8.95468446256229,247.1322483125005,0.005862463742963711,281.60223833006893,Singapore,10.698606485178303,216302454.259,USD,17.647058823529413,8.37438423645322,32.53012048192773,16.40211640211642,4.4,THB,4.319534854652086,4.071045909951376,56.59248700631379,Electronic technology,Computer processing hardware,5.43725422969514,5
